popularity,image,speechiness,rank,href,year,acousticness,danceability,preview,energy,tempo,instrumentalness,key,duration_ms,name,artist,liveness,explicit,mode,time_signature,loudness,valence
43,https://i.scdn.co/image/480fb9ef5489758005ea65b3042a0b5b89c7ef54,0.0354,60,https://open.spotify.com/track/0gDHo7nkUC3846vefhHJcE,1965,0.419,0.674,https://p.scdn.co/mp3-preview/61590f2174140cbd47aeb6a0c8f6fa9049990032?cid=b1f28da8553c44beb65edac3ed1abac7,0.702,122.096,0,0,149880,Tired of Waiting for You,The Kinks,0.249,0,1,4,-9.723,0.871
32,https://i.scdn.co/image/fbe9bc36f3e2f80ab46bc4d0144ce2bb21cd4a1f,0.0386,61,https://open.spotify.com/track/5VB2fb8NTAkMJzqCIdB4vC,1965,0.308,0.446,,0.677,161.523,1.37e-06,5,146266,Count Me In,Gary Lewis & The Playboys,0.129,0,1,4,-8.874,0.778
66,https://i.scdn.co/image/7869a7233e9f7896c42ea809d3c99076950011c6,0.08,62,https://open.spotify.com/track/5gmMa8nwzrkcPbHzSW3azN,1965,0.247,0.563,https://p.scdn.co/mp3-preview/ef865defefadc43e0305bc01f6b6fdda7f02f81b?cid=b1f28da8553c44beb65edac3ed1abac7,0.915,136.345,8.46e-05,7,142226,All Day and All of the Night,The Kinks,0.0613,0,1,4,-5.062,0.71
48,https://i.scdn.co/image/74eac1ac2274334f145e762e999b62f41a4792ed,0.0291,63,https://open.spotify.com/track/5td7WsBur5opModo1lB1X3,1965,0.863,0.444,,0.386,105.806,1.06e-06,1,187200,What The World Needs Now Is Love - 2002 - Remaster,Jackie DeShannon,0.113,0,1,4,-9.746,0.421
53,https://i.scdn.co/image/ad10654be44d43f071c4f2a6ed3e217882846ade,0.0483,64,https://open.spotify.com/track/5Fwif6oyL2EjXAFTGL909U,1965,0.606,0.506,,0.701,91.664,0,0,119266,It's Not Unusual,Tom Jones,0.196,0,1,4,-8.434,0.901
34,https://i.scdn.co/image/3df203d4863e88d0b4c7f90d0400b165ea8b4524,0.0286,65,https://open.spotify.com/track/40Fs8G1qws6fP8Zz0Tm1u3,1965,0.169,0.632,https://p.scdn.co/mp3-preview/bc290957775b387538bb2e17443e526c988019c9?cid=b1f28da8553c44beb65edac3ed1abac7,0.805,89.641,3.46e-06,4,145146,She's About A Mover,Sir Douglas Quintet,0.068,0,1,4,-5.063,0.86
25,https://i.scdn.co/image/7a82dadc1206edb244319a46b144cef3e1c537da,0.0653,66,https://open.spotify.com/track/5naGmbqRY9AlitnRgbw0uX,1965,0.772,0.543,,0.839,151.452,0,5,173613,Shake,Sam Cooke,0.3,0,1,4,-7.544,0.782
31,https://i.scdn.co/image/13eee14f12173f43a8b832fdfbd5686f1c73a743,0.053,67,https://open.spotify.com/track/43LT5KZkhHbSqOjOUeQbh6,1965,0.21,0.71,https://p.scdn.co/mp3-preview/cc89936bf6f925f2109692d94b08a10e4e60ebf9?cid=b1f28da8553c44beb65edac3ed1abac7,0.722,141.877,1.26e-05,0,121705,Wonderful World (Re-Record),Herman's Hermits,0.297,0,1,4,-7.659,0.964
55,https://i.scdn.co/image/541e8dc44175808b83372692c64a067ad8e0b01f,0.0557,68,https://open.spotify.com/track/0hA6gpx876uv2z7vROkFzw,1965,0.148,0.648,,0.922,129.378,0.00264,2,171933,Nowhere To Run,Martha Reeves & The Vandellas,0.1,0,0,4,-2.293,0.962
61,https://i.scdn.co/image/5a5e3dafa3b1ce307da5e25c48a9d5b6711ea1ba,0.0351,69,https://open.spotify.com/track/0AiuEo7FCxP2y2WTOpLPe5,1965,0.229,0.494,https://p.scdn.co/mp3-preview/15bc644e50fbaae427f5542c90eba38d34a95025?cid=b1f28da8553c44beb65edac3ed1abac7,0.666,140.832,5.69e-05,9,147893,Heart Full of Soul,The Yardbirds,0.0469,0,0,4,-9.743,0.699
34,https://i.scdn.co/image/58d3891a76fab6d0b30d65596419bbb2d9b3fc05,0.0552,70,https://open.spotify.com/track/0oNa58FDHzTit6QUpfKk1S,1965,0.477,0.768,https://p.scdn.co/mp3-preview/512b15ae8adbf80075629002aaeec49eee68e0b3?cid=b1f28da8553c44beb65edac3ed1abac7,0.871,125.495,4.33e-05,2,125733,Love Potion No. 9 - Mono,The Searchers,0.138,0,1,4,-6.287,0.949
12,https://i.scdn.co/image/1a60a08b0b9637758eea2e73e8d83c38df9720b5,0.0288,71,https://open.spotify.com/track/1UO56LXSG81eZJYAhjtv7G,1965,0.687,0.686,,0.486,119.521,0,5,186346,Laurie (Strange Things Happen),Dickey Lee,0.0922,0,1,4,-5.771,0.382
39,https://i.scdn.co/image/80f7932ab80a5a50463938ca49cbdcafed92e79b,0.0286,72,https://open.spotify.com/track/15CatBJBZlCFWkZSXbwzzy,1965,0.473,0.54,https://p.scdn.co/mp3-preview/3d25d0e9b6e7ad927f8a4422092bafad6ce149ae?cid=b1f28da8553c44beb65edac3ed1abac7,0.492,121.832,0,0,194400,Baby Don't Go,Sonny & Cher,0.046,0,1,4,-9.087,0.552
38,https://i.scdn.co/image/77e53ccb60b18148076e3ac6e58c7fa408105d71,0.0335,73,https://open.spotify.com/track/5Vy8PKv7gS5WDR1EUuk0Bf,1965,0.253,0.418,https://p.scdn.co/mp3-preview/8ce1c5def84ebc6bb0b2decc9749a31a9e3000d0?cid=b1f28da8553c44beb65edac3ed1abac7,0.547,122.096,0,7,133960,It Ain't Me Babe,The Turtles,0.0941,0,1,4,-5.992,0.574
